video_transcription_text,index
claim,3501
read,3302
learned,2950
someone,2816
media,2492
friend,2490
colleague,2419
discovered,2205
is,2130
are,1607
news,1551
internet,908
has,791
world,780
online,743
website,738
forum,736
revealed,725
discussion,715
board,715
social,712
was,617
earth,607
mentioning,558
claiming,555
more,392
around,383
tv,371
told,371
reported,368
radio,365
claimed,351
mentioned,339
humans,324
were,324
expert,323
report,318
average,313
car,308
system,306
article,300
largest,297
study,273
story,262
times,242
located,240
solar,228
american,227
number,226
moon,220
days,213
planet,211
every,207
longest,205
grow,202
single,200
never,198
sleep,191
used,188
mars,179
1,177
encountered,173
islands,171
million,171
while,171
recorded,168
population,166
world's,165
found,164
brain,163
australia,162
made,160
water,157
years,155
human,153
ever,151
fastest,151
size,150
mobile,149
sun,147
miles,147
oldest,146
away,139
eyes,138
name,136
cats,136
hours,134
taste,134
feet,134
longer,132
once,132
baby,130
space,125
drive,124
weight,124
per,122
common,121
china,119
been,119
trees,119
u.s.,118
5,117
through,116
same,113
born,112
world’s,111
billion,111
total,111
currently,110
each,108
venus,108
three,107
businesses,105
full,104
blue,104
3,101
best,101
less,101
olympics,101
fear,100
contain,100
6,99
without,99
musical,98
snakes,98
named,98
food,97
lasted,97
banana,96
tallest,96
summer,95
takes,95
access,95
teeth,95
united,94
different,94
live,94
20%,93
sport,93
created,92
set,91
shared,91
person,91
cannot,91
being,91
basketball,90
diamonds,90
fly,89
tower,89
growing,88
speak,87
body,86
french,86
life,86
desert,85
sahara,85
90%,84
much,84
actually,83
wild,82
doesn’t,81
during,81
squirrels,81
sea,80
spends,79
subway,78
jobs,76
penguins,76
somewhere,76
match,75
birth,75
product,75
tree,74
2,74
types,73
seeds,73
letters,72
month,72
50,72
owned,72
2.5,72
alike,71
planets,71
phone,71
shape,71
giant,70
sneezing,70
comet,70
halley’s,70
change,70
known,69
city,69
flying,69
individual,69
playable,69
contains,68
birds,68
extinct,68
land,68
user,68
island,68
event,68
mph,67
hearts,67
getting,67
makes,67
pets,67
